system:index,EVI_train,NBR_train,NDVI_change,NDVI_test,NDVI_train,NIR_train,RED_train,SWIR_test,SWIR_train,VH_VV_ratio,VH_test,VH_train,VV_test,VV_train,aspect,elevation,slope,.geo
1_1_1_1_2_2,0.37361666560173035,0.334349662065506,0.07896533608436584,0.7064322829246521,0.6274669766426086,0.24944999814033508,0.057100001722574234,0.19153332710266113,0.2014666646718979,1.8500150442123413,-14.67257022857666,-14.709354400634766,-7.720050811767578,-7.950937747955322,198.44894409179688,1470.0,2.930664300918579,"{""type"":""Point"",""coordinates"":[30.52760255154068,-2.3118497722177405]}"
1_1_1_1_2_7,0.3705191910266876,0.31844156980514526,0.1279311180114746,0.68871009349823,0.5607789754867554,0.28552499413490295,0.08034999668598175,0.2502000033855438,0.2511749863624573,1.5439479351043701,-21.326656341552734,-18.22506332397461,-15.934255599975586,-11.804195404052734,239.04678344726562,1666.0,15.815157890319824,"{""type"":""Point"",""coordinates"":[30.250541435420605,-1.6549672549699024]}"
1_1_1_1_2_8,0.41942623257637024,0.3696553111076355,0.03168505057692528,0.6973840594291687,0.6656990051269531,0.27254998683929443,0.05469999834895134,0.20864999294281006,0.20960000157356262,2.0432698726654053,-15.443412780761719,-13.725115776062012,-8.628111839294434,-6.717230319976807,210.27540588378906,1568.0,12.676630020141602,"{""type"":""Point"",""coordinates"":[30.53890537940394,-2.2348423582418584]}"
1_1_1_1_2_22,0.2829705774784088,0.19000475108623505,0.047477636486291885,0.5202280879020691,0.4727504551410675,0.25041666626930237,0.089649997651577,0.23516666889190674,0.2538999915122986,1.5572549104690552,-15.892049789428711,-16.79021453857422,-9.690274238586426,-10.781929969787598,28.627002716064453,1408.0,11.467637062072754,"{""type"":""Point"",""coordinates"":[30.530327907309122,-2.122926977595336]}"
1_1_1_1_2_26,0.31182029843330383,0.2098185420036316,0.040232494473457336,0.5039196610450745,0.46368715167045593,0.24889999628067017,0.09120000153779984,0.2198166698217392,0.23360000550746918,1.7267189025878906,-14.505509376525879,-15.984402656555176,-6.224517345428467,-9.257096290588379,116.54862213134766,1659.0,6.201043128967285,"{""type"":""Point"",""coordinates"":[30.521151900671676,-2.169681987057897]}"
1_1_1_1_2_61,0.2875448763370514,0.25973066687583923,0.061507951468229294,0.5777822732925415,0.5162742733955383,0.2251800000667572,0.07183749973773956,0.19866666197776794,0.20547142624855042,2.0025508403778076,-15.188414573669434,-15.336905479431152,-7.804564476013184,-7.658684253692627,305.51824951171875,1421.0,7.931314945220947,"{""type"":""Point"",""coordinates"":[30.426512982593167,-2.1688542487534472]}"
1_1_1_1_2_64,0.07112827897071838,0.3231481611728668,0.13546887040138245,0.3911806344985962,0.25571176409721375,0.07145000249147415,0.04235000163316727,0.06530000269412994,0.05400000140070915,1.7137954235076904,-18.557767868041992,-19.102779388427734,-10.630818367004395,-11.146475791931152,-0.0,1348.0,0.0,"{""type"":""Point"",""coordinates"":[30.154733843540676,-2.419235315247097]}"
1_1_1_1_2_69,0.4583839774131775,0.5364984273910522,0.07842663675546646,0.8133561611175537,0.7349295616149902,0.27293333411216736,0.04170000180602074,0.15224500000476837,0.16355000436306,1.4888702630996704,-17.0421199798584,-16.91338348388672,-12.0988130569458,-11.359877586364746,198.44522094726562,1290.0,2.930600881576538,"{""type"":""Point"",""coordinates"":[30.827137900293486,-1.9804804417962871]}"
1_1_1_1_2_112,0.46111947298049927,0.5405676960945129,-0.00447040144354105,0.7233573794364929,0.727827787399292,0.27608001232147217,0.043488889932632446,0.16955000162124634,0.16358333826065063,1.4601587057113647,-17.145734786987305,-16.84295082092285,-11.847911834716797,-11.535014152526855,270.0,1290.0,2.7819766998291016,"{""type"":""Point"",""coordinates"":[30.843646153065425,-1.9977663835944137]}"
1_1_1_1_2_114,0.2851853668689728,0.16987572610378265,-0.02812054567039013,0.41766417026519775,0.44578471779823303,0.2741749882698059,0.10509999841451645,0.3001999855041504,0.2838599979877472,1.6474299430847168,-17.18366241455078,-17.6240291595459,-11.595882415771484,-10.697892189025879,270.0,1334.0,2.782019853591919,"{""type"":""Point"",""coordinates"":[30.710500119975933,-2.0230104143781675]}"
