system:index,EVI_train,NBR_train,NDVI_change,NDVI_test,NDVI_train,NIR_train,RED_train,SWIR_test,SWIR_train,VH_VV_ratio,VH_test,VH_train,VV_test,VV_train,aspect,elevation,label,slope,.geo
1_0_0,0.49960464,0.46560428,0.0741929,0.7866106,0.71241766,0.3012,0.050583333,0.18583333,0.1997,2.3582823,-11.891571,-11.968666,-5.054577,-5.075162,99.45001,2750.0,1,16.477184,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.865160782734733,-2.949752982699067]}"
1_1_0,0.4335256,0.4392855,0.10379527,0.77117205,0.66737676,0.27395,0.05465,0.17295,0.191375,2.5148244,-12.077712,-11.841357,-5.413884,-4.708622,104.01839,2729.0,1,7.612717,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.86650825566091,-2.9492139935285953]}"
1_2_0,0.40790665,0.33948922,0.10967521,0.73914367,0.62946844,0.26836666,0.061025,0.1922,0.21696667,2.3399873,-11.392639,-11.536244,-5.3525224,-4.9300456,100.770355,2754.0,1,19.111088,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.86543027731997,-2.9489444989433595]}"
1_3_0,0.46375352,0.4398582,0.063385494,0.7660356,0.7026501,0.2843,0.04965,0.1795,0.1913,1.958728,-12.834738,-12.5755205,-6.2628794,-6.4202485,131.9495,2747.0,1,12.294989,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.867047244831383,-2.947866520602416]}"
1_4_0,0.44472942,0.50852793,0.00833882,0.6886574,0.6803186,0.28745,0.0546875,0.1597,0.161,1.7968255,-13.905469,-14.429147,-8.948189,-8.0303545,134.96216,2654.0,1,1.312308,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.85626746142195,-2.94436309099435]}"
1_5_0,0.37843156,0.42637643,-0.00803794,0.61429214,0.62233007,0.25065,0.05835,0.17365,0.17845,1.5523779,-15.845101,-16.640224,-10.457204,-10.719184,90.0,2656.0,1,0.92863476,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.855728472251478,-2.9432851126534065]}"
1_6_0,0.37352034,0.42451012,0.046659637,0.64682084,0.6001612,0.26473334,0.06615,0.1892,0.18645,1.6010833,-16.493193,-16.320171,-9.626227,-10.193206,116.534904,2654.0,1,2.07521,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.86138785854143,-2.9389731992896326]}"
1_7_0,0.5407952,0.5555724,0.008486442,0.71163213,0.7031457,0.3429,0.059766665,0.15095,0.19025,1.6557246,-14.261951,-14.218425,-8.989405,-8.587433,-0.0,2660.0,1,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.856536956007186,-2.9341222967553873]}"
1_8_0,0.40846553,0.44652405,-0.013169038,0.63254774,0.6457168,0.25246668,0.05435,0.1582,0.1733,1.4757409,-15.873089,-16.924284,-10.843994,-11.46833,-0.0,2660.0,1,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.85626746142195,-2.9338528021701515]}"
1_9_0,0.5839878,0.471139,-0.032985806,0.71067274,0.74365854,0.35745,0.05255,0.2314,0.2339,1.6250588,-13.783222,-14.328313,-6.821917,-8.817104,90.0,1836.0,1,11.899286,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.909088400128176,-2.9489444989433595]}"
1_10_0,0.59237266,0.4551138,-0.04445909,0.69349444,0.73795354,0.3724,0.05615,0.23915,0.24475,1.6969348,-14.288785,-14.779637,-7.682472,-8.709608,104.01839,1831.0,1,11.33646,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.909357894713413,-2.9489444989433595]}"
1_11_0,0.6448193,0.5157239,-0.04420769,0.7282937,0.7725014,0.40125,0.0515,0.2329,0.24395834,1.7108188,-14.132842,-15.02785,-6.690656,-8.78401,111.225075,1449.0,1,17.379862,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.944931179964545,-2.9370867371929816]}"
1_12_0,0.41946548,0.40982267,0.097669564,0.77119184,0.6735223,0.25835,0.0504,0.1674,0.18725,1.632088,-16.57188,-16.659613,-10.1245775,-10.207546,10.633423,2707.0,1,14.763484,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.869472696098505,-2.949752982699067]}"
1_13_0,0.4228095,0.44900978,0.025312824,0.725625,0.7003122,0.2451,0.0432,0.1744,0.1771,1.6923674,-15.049857,-14.897222,-8.710957,-8.802593,108.41217,2687.0,1,5.8525324,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.87135915819516,-2.949752982699067]}"
1_14_0,0.4183066,0.4498896,0.05584719,0.75681406,0.70096684,0.2463,0.0433,0.1713,0.1682,1.6327324,-16.05822,-15.599627,-9.993647,-9.554307,195.27441,2712.0,1,10.458278,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.875940566144166,-2.949752982699067]}"
1_15_0,0.4750052,0.4472198,0.074368276,0.7802419,0.70587367,0.28825,0.0497,0.17845,0.19146666,1.6003487,-16.748755,-16.713263,-10.546261,-10.443513,347.4551,2713.0,1,16.6207,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.868125223172328,-2.949483488113831]}"
1_16_0,0.43517318,0.4214069,0.07909287,0.7592801,0.6801872,0.26925,0.05125,0.17115,0.19595,1.5986309,-16.160885,-15.2576,-9.6316805,-9.544167,342.87592,2701.0,1,12.418499,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.86974219068374,-2.949483488113831]}"
1_17_0,0.4016453,0.366453,0.040380634,0.6780247,0.63764405,0.2558,0.0566,0.1925,0.20755,1.8289812,-13.718348,-14.848752,-7.9538007,-8.118591,63.465317,2699.0,1,8.247104,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.87055067443945,-2.949483488113831]}"
1_18_0,0.43539158,0.42161587,0.091818586,0.76868826,0.6768697,0.2657,0.0512,0.1767,0.183,1.5509882,-17.132235,-18.179571,-10.825564,-11.721282,299.02237,2699.0,1,9.471553,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.874054104047516,-2.949483488113831]}"
1_19_0,0.45182142,0.40740743,0.047480706,0.7351111,0.6876304,0.2831,0.0524,0.1999,0.2151,1.9518,-12.677288,-12.7820215,-6.6737456,-6.5488377,50.747803,2707.0,1,12.9666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.868933706928036,-2.9492139935285953]}"
1_20_0,0.35924852,0.3487395,0.1786532,0.774345,0.5956918,0.24075,0.061,0.17555,0.19475,1.6119117,-16.541698,-17.34378,-10.403558,-10.759759,345.9459,2693.0,1,3.8187768,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.870820169024686,-2.9492139935285953]}"
1_21_0,0.4359436,0.33530736,0.072838634,0.71484274,0.6420041,0.28185,0.06145,0.222,0.2379,1.8823301,-13.423292,-13.967632,-7.64497,-7.420395,354.7987,2688.0,1,10.137458,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.873245620291808,-2.9492139935285953]}"
1_22_0,0.35304555,0.3097077,0.1331973,0.7172533,0.584056,0.23745,0.06235,0.18605,0.203,1.5716676,-17.111027,-18.1558,-10.823055,-11.551934,246.82889,2701.0,1,13.865769,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.874054104047516,-2.9492139935285953]}"
1_23_0,0.38340208,0.33413398,0.061604775,0.6726264,0.6110216,0.24995,0.06035,0.199,0.2105,1.6232042,-15.870424,-15.81425,-9.477393,-9.742612,30.997261,2683.0,1,5.3940616,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.8724371365361,-2.9489444989433595]}"
1_24_0,0.4184863,0.31727946,0.03508869,0.65537477,0.62028605,0.28035,0.0657,0.2344,0.25205,1.8298748,-14.271984,-15.076924,-8.5064535,-8.239321,296.5347,2686.0,1,4.1450195,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.873245620291808,-2.9489444989433595]}"
1_25_0,0.44262633,0.46843854,0.020789169,0.7541225,0.73333335,0.25415,0.0391,0.1876,0.1772,1.7994689,-13.412732,-14.268555,-7.852477,-7.9293146,28.332453,2699.0,1,13.445927,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.875940566144166,-2.948675004358124]}"
1_26_0,0.3963037,0.43028527,0.049437307,0.71513844,0.66570115,0.2444,0.04905,0.1728,0.17455,1.7318103,-13.990822,-14.529724,-8.515184,-8.389905,147.9605,2713.0,1,8.686031,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.868394717757564,-2.9484055097728876]}"
1_27_0,0.43761182,0.4242303,0.0835183,0.77127004,0.68775177,0.26715,0.049425,0.1719,0.188,2.016392,-13.602862,-12.894087,-6.8152804,-6.3946333,123.65506,2732.0,1,13.152726,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.867586234001855,-2.948136015187652]}"
1_28_0,0.42954108,0.34392336,0.09933605,0.7597722,0.66043615,0.2665,0.0545,0.2059,0.21755,2.0797305,-13.343444,-13.0329485,-6.748051,-6.2666526,63.465282,2673.0,1,6.204033,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.872167641950867,-2.947866520602416]}"
1_29_0,0.41316774,0.3459244,0.049052954,0.68037826,0.6313253,0.2708,0.0612,0.20405,0.2254,2.0415545,-13.194355,-12.312687,-5.561089,-6.031035,122.436844,2746.0,1,11.929001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.86731673941662,-2.94759702601718]}"
1_30_0,0.38741067,0.35234946,0.047576405,0.6810651,0.63348866,0.24535,0.05505,0.1983,0.20455,2.4062786,-12.127587,-11.801235,-5.658531,-4.9043508,78.704636,2742.0,1,4.7245765,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.867586234001855,-2.9465190476762366]}"
1_31_0,0.5220064,0.47080517,0.05252279,0.75209665,0.6995739,0.31906667,0.0564,0.1933,0.2122,2.2838826,-11.069619,-11.345445,-4.8054996,-4.9676127,320.1572,2683.0,1,7.2095704,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.87647955531464,-2.944902080164822]}"
1_32_0,0.4508119,0.42845848,0.07969802,0.7294241,0.64972615,0.27105,0.05755,0.1998,0.19035,1.4928762,-17.524376,-17.972656,-11.822585,-12.038946,320.49045,2709.0,1,19.630753,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.868125223172328,-2.941937639727227]}"
1_33_0,0.42263344,0.38643593,0.06696542,0.67499375,0.60802835,0.2724,0.0664,0.22585,0.20555,1.4583116,-17.748781,-17.291174,-10.99723,-11.856982,317.4519,2701.0,1,14.771356,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.868125223172328,-2.9416681451419913]}"
1_34_0,0.45722312,0.41728652,0.086945094,0.73134327,0.64439815,0.2763,0.05975,0.2276,0.20545,1.5555897,-16.887428,-17.359512,-11.05243,-11.159441,293.93448,2688.0,1,17.70378,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.86785572858709,-2.9413986505567555]}"
1_35_0,0.57749027,0.5478536,-0.009384736,0.73743016,0.7468149,0.35876667,0.052,0.20835,0.20435,1.4668189,-15.359737,-17.283575,-8.740481,-11.783032,85.03675,2517.0,1,36.812008,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.883486414530772,-2.9360087588520383]}"
1_36_0,0.32662144,0.34431726,0.0064464984,0.5421107,0.5356642,0.2407,0.07278,0.179,0.20181666,1.4325976,-18.861248,-18.74614,-12.540235,-13.085418,180.0,2648.0,1,0.92740995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.872976125706572,-2.9333138129996796]}"
1_37_0,0.46438628,0.4952407,-0.033274252,0.6902367,0.723511,0.2749,0.0441,0.1969,0.1813,3.4596474,-7.9715433,-8.829225,-1.4823074,-2.5520592,62.55665,2696.0,1,42.403297,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.885911865797894,-2.949752982699067]}"
1_38_0,0.5949825,0.51104504,-0.068419024,0.657861,0.72628003,0.3557,0.0564,0.2208,0.2242,1.4881676,-15.917026,-17.940603,-10.078642,-12.055498,40.024227,2403.0,1,33.237354,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.89534417628115,-2.9473275314319443]}"
1_39_0,0.5412518,0.45996666,0.004032335,0.694112,0.6900797,0.3501,0.0642,0.2187,0.2288,1.9269844,-11.652095,-11.646544,-6.044536,-6.0439224,180.88257,2374.0,1,46.4606,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.900734067985866,-2.9465190476762366]}"
1_40_0,0.5293579,0.50260127,0.011352334,0.72877735,0.71742505,0.33215,0.05465,0.1965,0.20655,1.4466805,-16.118402,-17.814384,-10.7827015,-12.313972,78.70461,2515.0,1,30.05053,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.887798327894544,-2.94436309099435]}"
1_41_0,0.46740443,0.41471416,-0.08694619,0.57230085,0.65924704,0.3019,0.062,0.24235,0.2168,1.665317,-13.956697,-14.03185,-7.9081383,-8.425933,172.22475,2346.0,1,19.770237,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.888337317065016,-2.9370867371929816]}"
1_42_0,0.42963952,0.47647586,0.005132599,0.70497733,0.6998448,0.24635,0.0435,0.1828,0.16225,1.8314021,-17.420269,-14.0676155,-10.6245,-7.6813364,351.5621,2332.0,1,23.838366,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.890493273746902,-2.93654774802251]}"
1_43_0,0.40627095,0.35060978,-0.058658026,0.55135036,0.61000836,0.28795,0.06975,0.2331,0.2332,1.6523839,-16.792818,-15.019309,-9.275632,-9.089479,225.03789,965.0,1,2.6232426,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.19960356301243,-2.945980058505765]}"
1_44_0,0.57460904,0.5810493,0.060221266,0.78934586,0.7291246,0.353325,0.05535,0.1405,0.17265,1.7460113,-15.646312,-12.9569235,-8.959152,-7.4208703,243.46495,2653.0,1,2.0751991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.86273533146761,-2.9314273509030286]}"
1_45_0,0.45663926,0.4909219,0.043338306,0.740711,0.6973727,0.2638,0.047033332,0.15585,0.17050834,1.4505556,-15.503189,-14.096869,-9.939652,-9.718255,180.0,2654.0,1,1.8543341,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.86219634229714,-2.930888361732557]}"
1_46_0,0.31619594,0.3349585,0.14481102,0.6978064,0.5529954,0.21905,0.06305,0.1912,0.19285,4.2658267,-9.013483,-9.4876175,-1.8745515,-2.2240982,139.14786,2886.0,1,25.212156,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.85033858054676,-2.929001899635906]}"
1_47_0,0.4083099,0.38105088,0.038801946,0.690051,0.65124905,0.25035,0.052875,0.1891,0.19296667,18.421537,-6.945124,-6.6463466,0.11522569,-0.36079216,118.041405,2901.0,1,28.852331,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.85033858054676,-2.92873240505067]}"
1_48_0,0.5135051,0.4954969,0.03856724,0.73745596,0.6988887,0.32103333,0.0569,0.2064,0.20976667,2.028259,-12.125513,-11.859096,-6.0823045,-5.846934,46.04235,2820.0,1,33.14413,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.854111504740064,-2.9228035241754813]}"
1_49_0,0.4361304,0.44021124,0.024541585,0.7153249,0.69078326,0.25453332,0.04655,0.17935,0.18315,1.5943182,-15.453695,-15.662954,-9.478835,-9.824234,30.99652,2913.0,1,25.272587,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.854111504740064,-2.916066159544585]}"
1_50_0,0.432705,0.35999095,0.09341957,0.71256995,0.61915034,0.30015,0.0706,0.1945,0.23323333,1.6958728,-12.888457,-14.229104,-7.209702,-8.390431,162.87599,1409.0,1,23.768948,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.301203021646348,-2.9435546072386423]}"
1_51_0,0.28833395,0.20800002,0.03197984,0.51078624,0.47880644,0.2416,0.08515,0.2353,0.2386,1.5199388,-14.53397,-15.298512,-9.048333,-10.065215,81.88046,1426.0,1,24.62914,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.29850807579399,-2.94112915597152]}"
1_52_0,0.5105361,0.39844918,-0.10224005,0.5718359,0.6740759,0.33515,0.06525,0.255,0.24575,1.7453507,-13.761169,-14.026431,-6.5973997,-8.036454,194.05411,1477.0,1,25.044035,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.31845067510144,-2.948136015187652]}"
1_53_0,0.35585997,0.43143144,0.10775266,0.76668537,0.6589327,0.2145,0.0441,0.2151,0.1601,2.4242632,-13.916142,-12.840652,-7.099525,-5.296724,203.65724,1556.0,1,29.489674,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.328691469340406,-2.9473275314319443]}"
1_54_0,0.56015956,0.6024125,-0.034984916,0.73668754,0.7716724,0.3321,0.0428,0.23526667,0.1699,2.1659954,-14.350945,-13.094968,-8.179552,-6.045705,199.67786,1583.0,1,25.70473,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.328960963925642,-2.9470580368467085]}"
1_55_0,0.46074513,0.5611853,0.036332853,0.79246414,0.75613123,0.2542,0.0353,0.1879,0.1493,1.5899339,-15.593023,-14.96539,-9.648547,-9.412586,328.53683,1634.0,1,18.860367,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.326266018073284,-2.9408596613862836]}"
1_56_0,0.48539042,0.54492533,0.043392226,0.7536752,0.710283,0.3052,0.0517,0.17926666,0.183,1.5887446,-14.7186575,-14.840001,-8.162773,-9.34071,45.037716,1694.0,1,2.6232347,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.32842197475517,-2.9395121884601045]}"
1_57_0,0.2667004,0.2566125,-0.022323137,0.3899324,0.41225553,0.2708,0.1127,0.2601,0.2404,1.8268708,-15.386541,-15.216895,-8.900641,-8.329486,334.9542,1704.0,1,15.003701,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.330038942266587,-2.939242693874869]}"
1_58_0,0.4607542,0.5125523,0.13227071,0.82547915,0.69320846,0.2892,0.0524,0.161425,0.1805,1.5735618,-15.206722,-15.153788,-9.5425,-9.630246,336.1662,1687.0,1,31.035152,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.330038942266587,-2.9389731992896326]}"
1_59_0,0.502954,0.5554987,0.05273574,0.7934341,0.74069834,0.3041,0.0453,0.1917125,0.1818,1.6041093,-15.090347,-14.904433,-9.71411,-9.291409,-0.0,1681.0,1,22.032898,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.331116920607528,-2.938703704704397]}"
1_60_0,0.5375797,0.6126079,-5.823448E-5,0.804156,0.80421424,0.30825,0.03345,0.1484,0.16055,1.614607,-15.650658,-14.598762,-10.358407,-9.041681,14.053989,1656.0,1,7.60392,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.32976944768135,-2.938434210119161]}"
1_61_0,0.4654597,0.3397562,0.07090404,0.67005914,0.5991551,0.3407,0.0854,0.29355,0.2962,1.4144899,-17.953358,-18.681095,-11.404652,-13.206949,124.29486,1593.0,1,38.814236,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.338393274408897,-2.9492139935285953]}"
1_62_0,0.46556816,0.4224938,0.14569858,0.80252516,0.65682656,0.3143,0.0651,0.167025,0.2235,1.6427677,-13.80108,-15.339793,-8.22327,-9.337774,147.13686,1678.0,1,30.855267,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.33677630689748,-2.9489444989433595]}"
1_63_0,0.5062434,0.5405856,0.06702762,0.8191058,0.7520782,0.30035,0.0425,0.15265,0.1724,1.8481038,-12.7273035,-13.563898,-6.340457,-7.3393593,158.17242,1706.0,1,34.896465,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.33812377982366,-2.94759702601718]}"
1_64_0,0.50644755,0.5181681,-0.011041611,0.7354393,0.7464809,0.305525,0.04435,0.21636666,0.18906666,1.8909888,-12.481507,-14.343658,-6.9365573,-7.5852685,141.59563,1692.0,1,26.370733,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.33893226357937,-2.946249553091001]}"
1_65_0,0.5472496,0.5027231,-0.06922493,0.68161684,0.75084174,0.338,0.0481,0.24166666,0.2234,1.6837881,-15.882768,-15.406404,-9.906899,-9.149847,202.6467,1662.0,1,11.886232,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.333272877289417,-2.9413986505567555]}"
1_66_0,0.483649,0.5583876,0.101714976,0.8216355,0.7199205,0.28125,0.0458,0.14673333,0.1532,2.0227776,-15.685029,-14.324766,-9.923223,-7.081731,272.11832,1680.0,1,23.650806,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.334081361045122,-2.9413986505567555]}"
1_67_0,0.45670474,0.519952,0.030828891,0.793529,0.7627001,0.2533,0.0341,0.16675,0.1624,1.6782976,-17.626545,-16.683002,-12.437395,-9.940431,259.70844,1669.0,1,10.271437,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.333811866459886,-2.94112915597152]}"
1_68_0,0.47526574,0.46076795,0.117999956,0.8116264,0.69362646,0.30625,0.0554,0.16815,0.1987,1.3942002,-15.811579,-16.857872,-10.807169,-12.091429,68.57793,1728.0,1,25.990908,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.337315296067953,-2.9397816830453403]}"
1_69_0,0.32810694,0.31323257,-0.006584405,0.44788995,0.45447436,0.30996665,0.11625833,0.26688334,0.238275,1.9262904,-15.124878,-14.846379,-7.1659865,-7.707238,74.07452,1742.0,1,13.278,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.33677630689748,-2.9395121884601045]}"
1_70_0,0.49994123,0.5394805,0.10492803,0.8524383,0.74751025,0.2983,0.0431,0.1532,0.18135,1.9793069,-12.894986,-12.908313,-6.224838,-6.5216327,165.0497,1278.0,1,14.107612,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.37208009756338,-2.946788542261473]}"
1_71_0,0.4179041,0.35783628,0.024272975,0.678574,0.65430105,0.27276668,0.057,0.25755,0.2284,1.4835485,-14.643211,-15.824299,-8.3431635,-10.66652,123.65524,1342.0,1,19.316313,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.38447684848423,-2.940320672215812]}"
1_72_0,0.47798645,0.43628255,0.04053419,0.74748844,0.70695424,0.306,0.052533332,0.23954,0.2224,1.4128107,-15.307251,-17.064817,-10.25513,-12.0786295,169.68187,1354.0,1,10.259041,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.38447684848423,-2.9397816830453403]}"
1_73_0,0.44012204,0.458389,0.1283772,0.78592706,0.65754986,0.2909,0.0601,0.2033,0.2043,1.443505,-14.550146,-17.315697,-9.556528,-11.995592,127.96219,1475.0,1,33.34045,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.372349592148616,-2.9376257263634535]}"
1_74_0,0.35514757,0.35181147,0.042510014,0.6411789,0.5986689,0.2402,0.0603,0.21746667,0.20974167,1.5823274,-14.721891,-15.213554,-8.485188,-9.61467,140.67374,1490.0,1,24.720646,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.374775043415738,-2.934391791340623]}"
1_75_0,0.4218386,0.3310385,0.1113195,0.7138885,0.60256904,0.29194,0.0724,0.212175,0.2465,1.8100786,-14.155742,-14.5382185,-8.393851,-8.0318165,212.50523,1563.0,1,22.89361,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.367768184199605,-2.9333138129996796]}"
1_76_0,0.4114372,0.40671983,0.039506048,0.6903192,0.65081316,0.269,0.0569,0.22706667,0.20225,1.56616,-14.113607,-16.03196,-8.331078,-10.236477,130.389,1555.0,1,29.881208,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.381512408046635,-2.933044318414444]}"
1_77_0,0.5539387,0.48665386,0.012937693,0.7239232,0.7109855,0.3481,0.0588,0.2208,0.2174,1.9191973,-16.002066,-14.559254,-10.435181,-7.586116,209.08632,2247.0,1,18.439892,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.895613670866386,-2.924959480857368]}"
1_78_0,0.5510145,0.4930495,-0.03881867,0.67006886,0.7088875,0.3437,0.05855,0.2207,0.22415,2.5381482,-13.858651,-11.864568,-8.10137,-4.6744976,233.16595,2256.0,1,36.09422,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.89588316545162,-2.924959480857368]}"
1_79_0,0.56270504,0.4539153,0.023066524,0.68976897,0.66670245,0.38805,0.0776,0.28165,0.2637,1.8900055,-14.937887,-12.899239,-8.997162,-6.824974,239.06918,2295.0,1,37.083637,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.896152660036858,-2.9246899862721323]}"
1_80_0,0.50454986,0.36028805,0.036138438,0.6868251,0.6506866,0.33055,0.06995,0.2659,0.247,4.232933,-10.649114,-8.297419,-4.304299,-1.9602054,216.46654,2311.0,1,40.211685,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.89588316545162,-2.924150997101661]}"
1_81_0,0.5035279,0.47018868,-0.08526251,0.66863906,0.75390154,0.2922,0.041,0.2118,0.1988,1.9506471,-12.032369,-13.550589,-4.66981,-6.9467144,159.2498,2742.0,1,32.63931,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.888337317065016,-2.919300094567415]}"
1_82_0,0.42236036,0.34342822,0.08793215,0.72628343,0.6383513,0.27725,0.0612,0.20945,0.22145,1.8536263,-12.964478,-14.685617,-6.7123575,-7.922642,75.981224,2557.0,1,14.965369,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.893727208769732,-2.916605148715057]}"
1_83_0,0.23333874,0.21041213,0.0794432,0.36664045,0.28719723,0.3069,0.16995,0.29206666,0.2845,1.6160364,-16.28637,-18.231178,-10.096061,-11.281415,18.45731,830.0,1,2.9308069,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.097195620622806,-2.921186556664066]}"
1_84_0,0.53212273,0.4066332,0.008252558,0.6994077,0.69115514,0.3499,0.0639,0.26851666,0.2646,2.373847,-12.636634,-12.239257,-5.9896016,-5.1558743,214.627,1138.0,1,29.704693,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.27182811185564,-2.9163356541298207]}"
1_85_0,0.50725377,0.53900063,0.092612594,0.83749014,0.7448776,0.30195832,0.04415,0.15225,0.1793,1.542468,-13.33713,-15.073312,-8.191698,-9.772203,144.42691,1470.0,1,22.682098,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.31333027798196,-2.927923921294963]}"
1_86_0,0.4283486,0.5050978,0.09524291,0.7681372,0.67289436,0.2731,0.0534,0.16465,0.1789,1.5992674,-16.777193,-16.15176,-10.831835,-10.099475,110.5315,1610.0,1,15.479174,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.332733888118945,-2.924959480857368]}"
1_87_0,0.46244076,0.3990872,0.030352693,0.6771032,0.6467505,0.3142,0.0674,0.24785,0.24515,1.9136832,-13.935477,-13.175493,-6.6496487,-6.884887,282.2493,1434.0,1,20.881313,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.318720169686678,-2.924150997101661]}"
1_88_0,0.5538956,0.54848826,0.072979495,0.8079858,0.7350063,0.3457,0.0528,0.1855,0.2042,2.261611,-11.715586,-11.962054,-5.7881045,-5.2891736,246.82841,1416.0,1,13.865515,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.31845067510144,-2.9238815025164246]}"
1_89_0,0.4810836,0.46352193,0.083795324,0.786867,0.70307165,0.2994,0.0522,0.18506667,0.2145,1.7432162,-13.728552,-14.580254,-7.918125,-8.3639965,180.0,1466.0,1,25.14749,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.31845067510144,-2.921725545834538]}"
1_90_0,0.4546345,0.46307033,0.09264539,0.7590249,0.6663796,0.2902,0.0581,0.17458,0.2044,1.7535723,-14.137842,-14.232616,-8.625819,-8.116355,231.37653,1488.0,1,22.53543,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.317911685930973,-2.921186556664066]}"
