system:index,EVI_train,NBR_train,NDVI_change,NDVI_test,NDVI_train,NIR_train,RED_train,SWIR_test,SWIR_train,VH_VV_ratio,VH_test,VH_train,VV_test,VV_train,aspect,elevation,label,slope,.geo
2_4563_0,0.41397503,0.38743326,0.016801098,0.6469695,0.6301684,0.2727,0.061866667,0.2504,0.20563333,2.2148414,-13.932003,-13.184447,-5.8028345,-5.9527726,180.0,1125.0,0,6.464861,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.92256312938997,-2.8470755457242056]}"
2_4564_0,0.4918986,0.639809,0.0011540091,0.8075314,0.8063774,0.27475,0.02945,0.1425,0.1352,1.4630854,-16.289934,-18.930119,-11.286163,-12.938492,87.95664,2402.0,0,24.41813,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.39040572935942,-2.5676096608346226]}"
2_4565_0,0.29717526,0.36108056,-0.008809419,0.5330005,0.54181,0.21665,0.064383335,0.17425,0.16368334,1.7072803,-15.982324,-15.859794,-8.846132,-9.289508,18.450169,1557.0,0,17.075312,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.9468176420612,-2.4102248230568826]}"
2_4566_0,0.36879185,0.48172364,-0.070133485,0.54293674,0.6130702,0.2493,0.0598,0.1906,0.1547,2.1132014,-15.978014,-14.666803,-8.797786,-6.940561,334.96085,1105.0,0,15.002923,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.034942371433324,-2.5783894442440567]}"
2_4567_0,0.30842772,0.22322147,-0.050845385,0.42157322,0.4724186,0.26636666,0.09544167,0.27325833,0.271475,1.6238145,-16.986742,-18.023651,-10.8325205,-11.099575,205.22336,1716.0,0,16.91956,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.921754645634262,-2.570574101272217]}"
2_4568_0,0.5367306,0.42471734,0.0050479183,0.6724111,0.66736317,0.3591,0.07164,0.2571,0.2618,3.2430718,-14.842881,-11.54675,-6.4637446,-3.560436,257.2916,1160.0,0,27.252542,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.264012768883802,-2.915796664959349]}"
2_4569_0,0.3845216,0.29192054,0.08221727,0.686817,0.6045997,0.2721,0.06705,0.2338,0.22575,1.4824342,-14.810688,-16.934078,-9.963309,-11.423158,76.343285,1126.0,0,31.67699,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.959483887567284,-2.698314534674013]}"
2_4570_0,0.4530726,0.45477203,-0.06474847,0.62204725,0.6867957,0.2919,0.0542,0.19005,0.1878,1.6761154,-14.973238,-16.447971,-9.207257,-9.81315,164.03914,1108.0,0,13.263404,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.034942371433324,-2.5886302384830193]}"
2_4571_0,0.37155822,0.3552382,0.05058648,0.6177354,0.5671489,0.2681,0.07405,0.23523334,0.2309,3.4609294,-12.531764,-9.438258,-3.060204,-2.7270877,274.23096,1285.0,0,23.693237,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.27371457395229,-2.9060948598908585]}"
2_4572_0,0.6219012,0.5901295,-0.011253557,0.802531,0.81378454,0.36623332,0.0376,0.1915375,0.19875,1.897794,-14.19486,-14.511908,-6.913775,-7.646724,200.57776,2506.0,0,15.464429,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.363995260006302,-2.7500574950392975]}"
2_4573_0,0.77009356,0.678123,0.007859328,0.8510242,0.84316486,0.45775,0.03895,0.2024,0.19445,2.4877884,-13.093334,-12.9721155,-5.5187407,-5.2143164,209.77083,2532.0,0,7.4375486,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.364264754591538,-2.626628975001275]}"
