EVI_train,NBR_train,NDVI_change,NDVI_test,NDVI_train,NIR_train,RED_train,SWIR_test,SWIR_train,VH_VV_ratio,VH_test,VH_train,VV_test,VV_train,aspect,elevation,label,slope
0.3040774,0.23385304,-0.022104992,0.46538854,0.48749354,0.26315,0.09066667,0.2981,0.2444,1.5830765,-16.714594,-16.09803,-10.973095,-10.168827,323.10614,1405.0,1,4.6288133
0.3120116,0.22525813,-0.09820557,0.40310827,0.50131387,0.2571,0.0854,0.3056,0.249125,1.6289616,-16.842413,-16.540136,-11.863663,-10.153791,8.137091,1400.0,1,6.5300446
0.318403,0.21172398,-0.13451943,0.37891895,0.51343834,0.24495,0.07875,0.2832,0.248025,1.5953856,-16.80831,-15.421086,-10.78825,-9.666057,284.0245,1417.0,1,3.8216016
0.33634788,0.27018633,-0.10088004,0.4522845,0.55316454,0.2454,0.0706,0.2621,0.2258,1.5881851,-17.060944,-15.648956,-11.167262,-9.853358,281.30035,1423.0,1,4.7225327
0.2328953,0.08433131,-0.099691994,0.31272268,0.41241467,0.2173,0.0904,0.3253,0.2603,1.5917053,-18.93716,-16.565567,-13.387301,-10.407433,18.449919,1397.0,1,5.8461065
0.30834118,0.18807313,-0.08776265,0.42027396,0.5080366,0.238075,0.07766667,0.28275,0.25305,1.5572779,-17.245882,-15.811474,-11.254844,-10.153277,314.97507,1415.0,1,6.5327516
0.39396712,0.38424495,-0.2212459,0.42910683,0.6503527,0.2515,0.053283334,0.2757,0.198975,1.7107818,-16.80274,-15.463704,-10.655478,-9.038969,293.94397,1378.0,1,9.064968
0.28414872,0.1921324,-0.028893504,0.44239128,0.4712848,0.2485,0.0893,0.2957,0.2607,1.6205728,-17.780973,-16.551872,-12.281178,-10.2135935,134.97507,1422.0,1,1.312012
0.34054664,0.26297465,-0.093448505,0.4683788,0.5618273,0.244875,0.0687,0.2526,0.23076667,1.6537225,-16.96784,-15.334932,-11.095527,-9.272978,306.84598,1418.0,1,9.200182
0.3589847,0.2780513,-0.09342898,0.49331596,0.58674496,0.2466,0.064225,0.250125,0.2314,1.5873464,-17.054798,-15.344673,-10.924318,-9.666871,329.01425,1420.0,1,5.393415
0.3310029,0.24735154,-0.141426,0.38980034,0.53122634,0.25315,0.0775,0.2854,0.24005,1.6144005,-17.321474,-15.575802,-11.558902,-9.648041,341.55008,1396.0,1,5.846106
0.33002284,0.24873292,-0.08295215,0.46279117,0.54574335,0.2433,0.0715,0.2689,0.2363,1.6141568,-16.426653,-15.593351,-10.798759,-9.660369,326.28693,1398.0,1,6.6598673
0.28134742,0.19746403,-0.08299303,0.41737932,0.50037235,0.22665,0.075475,0.2742,0.235625,1.6463193,-17.342371,-15.589143,-11.161101,-9.469089,119.723434,1385.0,1,7.440465
0.40449518,0.40030068,-0.19159487,0.47591266,0.6675075,0.25615,0.051075,0.2442,0.20285,1.7027415,-16.31717,-14.432489,-10.055997,-8.47603,341.5501,1422.0,1,2.9306803
0.38188618,0.3764229,-0.01810359,0.60787046,0.62597406,0.2504,0.0576,0.22315,0.20815,1.7151569,-14.471393,-15.059495,-8.787111,-8.780243,314.97513,1423.0,1,2.622647
0.30508283,0.20204864,-0.201898,0.32808897,0.529987,0.2347,0.0721,0.284,0.2397,1.6532972,-18.369486,-15.957735,-12.130714,-9.652067,333.41504,1420.0,1,2.0733879
0.34869644,0.2920525,-0.15460038,0.42736727,0.58196765,0.24535,0.064833336,0.2689,0.22316666,1.7023824,-16.460176,-15.388665,-10.568412,-9.039488,333.41507,1372.0,1,6.198582
0.3548158,0.26717165,-0.17217524,0.40653837,0.5787136,0.248825,0.0664,0.28085,0.23296666,1.5856065,-16.776596,-15.37497,-11.1903925,-9.696587,338.18146,1370.0,1,4.9826903
0.3869714,0.37782478,-0.16273181,0.45361876,0.6163506,0.26065,0.061866667,0.2435,0.20965,1.7006927,-16.661667,-15.145116,-10.577912,-8.905263,314.97495,1456.0,1,7.8244576
0.2725509,0.1790175,0.0052646953,0.49946097,0.49419627,0.2124,0.0719,0.2361,0.22545,1.655812,-15.852276,-14.961915,-10.33746,-9.035998,75.975525,1432.0,1,3.8216097
0.25225878,0.18576859,-0.019478701,0.43077874,0.45025742,0.2183,0.08275,0.253,0.23495,1.6461796,-16.2204,-15.320164,-10.309063,-9.306497,101.300316,1428.0,1,4.722543
0.33540884,0.27832282,-0.029618645,0.5333127,0.5629313,0.2378,0.0665,0.2459,0.21875,1.6600524,-16.231716,-14.782363,-10.261547,-8.904757,90.0,1450.0,1,1.8559524
0.29975572,0.21980742,-0.012267333,0.5166982,0.52896553,0.2217,0.0683,0.2439,0.2162,1.6557839,-16.327225,-15.034245,-10.224976,-9.079835,113.18049,1436.0,1,7.0332317
0.3113204,0.2382249,-0.029647687,0.5130932,0.5427408,0.2274,0.0674,0.2471,0.2192,1.6446743,-15.910851,-14.940108,-10.037039,-9.083931,141.3158,1441.0,1,5.9197097
0.28632554,0.16868687,-0.036489133,0.44731978,0.4838089,0.2314,0.0805,0.259,0.2499875,1.6199403,-16.379597,-15.532929,-10.36529,-9.588581,270.0,1438.0,1,5.5523524
0.29342446,0.18726595,-0.06743927,0.44003356,0.5074728,0.2219,0.0725,0.2556,0.23743333,1.693866,-16.024323,-15.392773,-10.079227,-9.087361,296.5451,1444.0,1,6.2018003
