Method,Name,Error,Occurrences,First Seen,Last Seen
GET,GET /,"ConnectionResetError(54, 'Connection reset by peer')",1,2026-07-03T22:19:28Z,2026-07-03T22:19:28Z
GET,GET /api/sector-risk,"ConnectionResetError(54, 'Connection reset by peer')",1,2026-07-03T22:19:03Z,2026-07-03T22:19:03Z
