Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/login,50,0,120,152.87687424002797,68.42029100516811,797.8625840041786,203.0,0.8441170017701103,0.0,130,180,210,220,250,270,800,800,800,800,800
GET,GET /,285,1,2,7.616949010499459,1.2222079967614263,336.3500419945922,20989.094736842104,4.811466910089628,0.016882340035402205,2,3,4,5,8,18,83,130,340,340,340
GET,GET /api/me,278,0,4,15.164620507224388,1.5117090006242506,464.69995799998287,304.0,4.693290529841813,0.0,4,5,6,8,14,30,330,450,460,460,460
GET,GET /api/sector-risk,827,1,8,15.752923562293272,4.385125001135748,542.0868329965742,171388.50785973397,13.961695209277623,0.016882340035402205,8,10,12,13,22,39,93,190,540,540,540
,Aggregated,1440,2,7,18.790351713207404,1.2222079967614263,797.8625840041786,102649.20138888889,24.310569650979176,0.03376468007080441,7,9,11,12,27,78,200,290,540,800,800
