Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1783117400,200,,Aggregated,95.400000,0.500000,10,64,130,170,270,340,400,460,650,670,670,2849,16,10,79.24867799498104,0.6619999985559843,665.0449160006247,97169.97051597052
1783117401,200,,Aggregated,95.600000,1.000000,10,57,120,160,260,330,390,460,650,670,670,2942,16,10,77.13687959778294,0.6619999985559843,665.0449160006247,98340.54248810333
1783117402,200,,Aggregated,94.800000,1.400000,9,46,110,160,260,330,390,460,640,670,670,3051,16,9,74.68178035618244,0.6619999985559843,665.0449160006247,98994.33595542445
1783117403,200,,Aggregated,95.100000,1.300000,9,38,100,150,250,320,390,450,640,670,670,3148,16,9,72.55432413174465,0.6619999985559843,665.0449160006247,99186.79510800508
1783117404,200,,Aggregated,95.100000,1.300000,9,30,97,150,250,320,380,450,640,670,670,3241,16,9,70.61485023595766,0.6619999985559843,665.0449160006247,99099.22431348349
1783117405,200,,Aggregated,97.700000,1.300000,8,25,92,140,250,310,380,450,640,670,670,3346,16,8,68.56141413470112,0.6619999985559843,665.0449160006247,99020.87059175134
1783117406,200,,Aggregated,96.300000,1.200000,8,21,88,140,240,310,380,450,640,670,670,3441,16,8,66.81825243119404,0.6619999985559843,665.0449160006247,99271.66928218541
1783117407,200,,Aggregated,96.700000,1.100000,8,18,83,130,240,310,380,450,640,670,670,3540,16,8,65.08551658268522,0.6619999985559843,665.0449160006247,99251.73305084746
1783117408,200,,Aggregated,98.500000,1.100000,8,16,78,130,240,310,380,440,640,670,670,3637,16,8,63.50312887207135,0.6619999985559843,665.0449160006247,99447.1325268078
1783117409,200,,Aggregated,96.300000,1.000000,7,15,75,120,240,310,380,440,640,670,670,3732,16,7,62.01916149590542,0.6619999985559843,665.0449160006247,99834.43006430868
